City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,new norfolk,20,AU,1528088400,62,-42.78,147.06,55.4,5.82
1,kenai,1,US,1528088160,76,60.55,-151.26,55.4,12.75
2,busselton,64,AU,1528089967,97,-33.64,115.35,66.25,12.21
3,port lincoln,68,AU,1528089967,89,-34.72,135.86,61.21,3.6
4,victoria,75,BN,1528088400,62,5.28,115.24,93.2,4.7
5,torbay,90,CA,1528088400,100,47.66,-52.73,32.0,26.4
6,hermanus,0,ZA,1528089968,94,-34.42,19.24,31.42,3.38
7,hilo,90,US,1528087980,88,19.71,-155.08,75.2,4.7
8,albany,90,US,1528088040,50,42.65,-73.75,57.2,10.29
9,aklavik,75,CA,1528088400,42,68.22,-135.01,64.4,9.17
10,samarai,92,PG,1528089968,100,-10.62,150.67,76.24,12.44
11,praia da vitoria,20,PT,1528088400,93,38.73,-27.07,66.2,9.19
12,yellowknife,75,CA,1528088400,61,62.45,-114.38,50.0,8.05
13,nanortalik,48,GL,1528089969,87,60.14,-45.24,37.0,27.87
14,vanavara,8,RU,1528089969,51,60.35,102.28,67.96,4.72
15,constitucion,0,MX,1528089969,29,23.99,-104.67,64.36,6.96
16,santa cruz,1,US,1528088160,93,36.97,-122.03,69.8,4.7
17,katherine,0,AU,1528088400,11,-14.47,132.26,82.4,12.75
18,vallenar,0,CL,1528089971,63,-28.58,-70.76,34.12,1.92
19,faanui,80,PF,1528089971,100,-16.48,-151.75,80.02,18.03
20,grand gaube,40,MU,1528088400,69,-20.01,57.66,77.0,11.41
21,novoagansk,88,RU,1528089972,81,61.94,76.66,44.83,7.4
22,kingaroy,24,AU,1528089972,75,-26.54,151.84,63.19,7.18
23,vaini,64,IN,1528089972,85,15.34,74.49,78.94,5.28
24,abbeville,0,FR,1528088400,87,50.11,1.83,60.8,3.36
25,castro,44,CL,1528089973,98,-42.48,-73.76,28.0,2.59
26,hirara,40,JP,1528084800,70,24.8,125.28,86.0,2.24
27,port hardy,75,CA,1528088400,93,50.7,-127.42,48.2,3.36
28,hualmay,88,PE,1528089973,95,-11.1,-77.61,61.03,1.25
29,socota,92,PE,1528089973,100,-6.32,-78.7,51.04,2.15
30,butaritari,88,KI,1528089973,100,3.07,172.79,84.25,5.5
31,mataura,32,NZ,1528089973,98,-46.19,168.86,27.55,3.15
32,muroto,75,JP,1528084800,60,33.37,134.14,75.2,9.17
33,naze,80,NG,1528089974,97,5.43,7.07,72.46,3.83
34,ilulissat,12,GL,1528087800,69,69.22,-51.1,33.8,16.11
35,bella union,32,CO,1528089974,91,8.5,-73.35,65.8,1.59
36,ushuaia,8,AR,1528089974,100,-54.81,-68.31,14.05,2.93
37,bluff,0,AU,1528089975,36,-23.58,149.07,74.08,5.73
38,meulaboh,88,ID,1528089975,100,4.14,96.13,84.7,4.83
39,petrodvorets,0,RU,1528086600,55,59.88,29.9,60.8,11.18
40,partizansk,68,RU,1528089975,55,43.13,133.13,72.37,5.39
41,chapleau,92,CA,1528089975,100,47.85,-83.4,54.1,4.16
42,khash,0,IR,1528089976,18,28.22,61.21,94.24,4.16
43,punta arenas,75,CL,1528084800,92,-53.16,-70.91,24.8,4.7
44,upernavik,8,GL,1528089976,99,72.79,-56.15,28.0,14.45
45,qaanaaq,0,GL,1528089976,80,77.48,-69.36,19.54,2.26
46,cape town,0,ZA,1528088400,93,-33.93,18.42,37.4,4.7
47,bella vista,0,AR,1528089977,85,-28.51,-59.05,37.36,4.61
48,saskylakh,88,RU,1528089977,99,71.97,114.09,52.57,6.06
49,pangnirtung,76,CA,1528089977,100,66.15,-65.72,24.76,4.16
50,marsh harbour,0,BS,1528089977,99,26.54,-77.06,79.84,11.21
51,brewster,90,US,1528089540,93,41.76,-70.08,50.0,6.93
52,lompoc,90,US,1528089060,93,34.64,-120.46,59.0,5.82
53,horta,90,ES,1528088400,100,41.43,2.16,59.0,4.83
54,dongying,0,CN,1528089978,47,37.43,118.67,89.65,9.19
55,alice springs,0,AU,1528088400,19,-23.7,133.88,66.2,8.05
56,saint george,20,GR,1528087800,64,39.45,22.34,71.6,5.82
57,puerto ayora,88,EC,1528089979,98,-0.74,-90.35,73.27,11.32
58,port elizabeth,90,US,1528088700,93,39.31,-74.98,57.2,11.41
59,east london,40,ZA,1528088400,71,-33.02,27.91,51.8,6.93
60,nikolskoye,0,RU,1528086600,55,59.7,30.79,60.8,11.18
61,cherskiy,8,RU,1528089980,68,68.75,161.3,45.64,6.51
62,tautira,20,PF,1528088400,83,-17.73,-149.15,77.0,3.36
63,cockburn town,12,TC,1528089980,96,21.46,-71.14,80.47,16.8
64,kapaa,40,US,1528088400,88,22.08,-159.32,77.0,18.34
65,rikitea,80,PF,1528089980,100,-23.12,-134.97,72.01,8.41
66,tarrega,20,ES,1528088400,93,41.65,1.14,60.8,4.7
67,kupang,8,ID,1528089981,69,-10.16,123.6,85.06,13.67
68,beringovskiy,92,RU,1528089981,90,63.05,179.32,35.2,18.03
69,tuatapere,0,NZ,1528089981,100,-46.13,167.69,39.25,0.92
70,kushima,75,JP,1528084800,88,31.5,131.29,78.8,12.75
71,tougue,56,GN,1528089982,98,11.45,-11.68,65.89,3.38
72,dickinson,1,US,1528084560,71,46.88,-102.79,57.2,9.17
73,cayenne,75,GF,1528088400,100,4.94,-52.33,77.0,4.27
74,abu samrah,0,SY,1528089982,63,35.3,37.18,74.17,6.96
75,tomatlan,24,MX,1528089983,96,19.93,-105.25,74.26,0.69
76,coro,0,VE,1528089983,87,11.41,-69.67,78.13,10.2
77,barrow,88,AR,1528089983,86,-38.31,-60.23,36.37,3.04
78,riyadh,64,SA,1528088400,18,24.63,46.72,98.6,3.36
